Spanish,Polish
siguió,On kontynuował
significado,oznaczający
miente,kłamstwa
medidas,środki
guitarra,gitara
custodia,opieka
boletos,bilety
ayudado,pomógł
sydney,Sydnej
sentarte,siedzieć
risa,śmiech
quemar,oparzenie
prometió,Obiecane
observando,Obserwacja
lectura,czytanie
jódete,Wchodzić
considerado,uważany za
cometer,popełniać
cambié,Zmieniłam
asientos,osadzenie
wong,Wong
shock,zaszokować
satisfecho,zadowolona
saludable,zdrowy
lanzar,początek
ken,Rozpoznać
hoja,arkusz
conozca,Wiedzieć
concepto,pojęcie
colgar,powiesić
apunta,zwrotnica
renta,wynajem
prefieres,Ty preferujesz
pediré,zapytam
mediodía,południe
influencia,wpływ
hacernos,zmuś nas
figura,postać
ensayo,próba
coordenadas,współrzędne
casó,sprawa
bart,Bart
albert,Albert
político,polityczny
países,Państwa
once,jedenaście
matarlos,Zabij ich
karl,Karl
graduación,ukończenie szkoły
frase,wyrażenie
eterna,Wieczny
estarlo,Być
descuida,Nie martw się
toalla,ręcznik
próximos,Następny
monedas,Monety
mirad,Ujrzeć
miraba,Popatrzyłem
jesus,Jezus
griegos,Grecy
famosa,słynny
corredor,biegacz
atravesar,przechodzić
aguas,Fale
modales,maniery
guerras,Wojny
eternidad,wieczność
conocerla,znam ją
charlotte,Charlotte
busquen,Szukaj
buck,Bryknięcie
acuerda,Zgadzać się
sentirme,czuć
ralph,Ralph
quema,Palenie
poema,wiersz
ordenó,zamówiono
espiritual,duchowy
costumbre,nawyk
comencé,ja zacząłem
cabra,koza
alquiler,wynajem
williams,Williams
vencido,pokonany
vela,świeca
trataré,Będę leczyć
sospechosos,podejrzany
quinto,piąty
pilotos,piloci
philip,Philip
perdieron,Przegrali
norman,Norman
josé,José
generación,Pokolenie
formación,szkolenie
estructura,Struktura
concéntrate,Koncentrować
complejo,złożony
voces,głosy
virginia,Virginia
tragos,napoje
temor,strach
república,republika
recursos,zasoby
presentación,prezentacja
pirámide,piramida
oficialmente,oficjalnie
maquillaje,makijaż
guardaespaldas,ochroniarz
escucharme,Posłuchaj mnie
dejara,zostawi
contiene,zawiera
bendición,błogosławieństwo
vuestros,twój
semejante,podobny
pague,Płacić
molestes,Zagadnie
cultura,kultura
comió,zjadł
antecedentes,tło
tendríamos,Mielibyśmy
representante,przedstawiciel
prestado,pożyczone
posesión,posiadanie
oir,słyszeć
nubes,chmury
meterte,wejść w
guantes,rękawice
esperabas,Spodziewałeś się
enseña,Uczyć
encontrarme,Znajdź mnie
consejos,porady
regreses,Ty powracasz
preocupen,martwić się
pistolas,pistolety
jennifer,Jennifer
gane,wygrałem
dana,Dana
sos,Sos
niveles,poziomy
lane,uliczka
ganaste,Wygrał
considerando,rozważając
capital,kapitał
cambie,zmiana
ánimo,Rozchmurz się
utilizar,używać
lograrlo,Osiągnij to
llévate,Weź siebie
gafas,okulary
espíritus,Duchy
do,Do
watson,Watson
ruby,Rubin
preguntaste,Spytał
pagará,zapłacić
maíz,kukurydza
ho,Ho
estacionamiento,parking
contactos,Łączność
aguja,igła
turner,Tokarz
trenes,pociągi
soporto,stał
sacaré,Wyjmę
oido,ucho
fortaleza,wytrzymałość
donald,Donald
corea,Korea
conversar,omówić
computadoras,komputery
cálmese,uspokoić się
volante,kierownica
sucederá,To się stanie
jessica,Jessica
decías,Powiedziałeś
data,dane
cuente,Liczyć
civilización,cywilizacja
cabrones,Bastardowie
arruinar,zepsuć
vampiro,wampir
tocó,wzruszony
regresé,wróciłem
pases,Karnety
mitch,Mitch
megan,Megan
logan,Logan
fantástica,Fantastyczny
facil,łatwy
estabamos,Byliśmy
diera,dawać
detenga,zatrzymywać się
violación,rzepak
pam,Pam
hemorragia,krwotok
fianza,kaucja
docena,tuzin
centavo,grosz
célula,komórka
carreras,kariera
callado,skryty
rodilla,kolano
prometes,Obiecujesz
profundamente,głęboko
posiciones,pozycje
hicieras,Zrobiłeś
furioso,wściekły
desperté,obudziłem się
comes,jesz
ciega,ślepy
cicatriz,blizna
bebidas,napoje
acércate,zbliżać się
tiró,strzał
policial,Policja
pasear,zwiedzanie
masa,masa
llegues,Przybywasz
global,światowy
escapado,uciekłem
dinos,Powiedz nam
cuarta,kwartał
bienes,nieruchomość
aparato,aparat
steven,Steven
sostén,wsparcie
realizar,przeprowadzać coś
permitiré,Pozwolę
orgullosos,dumny
corten,Cięcie
comisión,zamawiać
vidrio,szkło
presa,ofiara
ocupados,zajęty
morfina,morfina
habrían,Mieliby
columna,kolumna
sacaron,Wyjęli
patas,łapy
oírme,Usłysz mnie
ocultar,przebranie
objeción,sprzeciw
myers,Myers
maneja,uchwyt
largas,długi
generalmente,ogólnie
fuentes,źródła
cubrir,okładka
ataca,atak
tenis,tenis
santos,Święci
potencial,potencjał
plano,płaski
murphy,Murphy
levante,podniosłem
escala,skala
enfrentar,umowa
cuánta,Ile
sobra,nadwyżka
rumor,plotka
páginas,strony
órganos,narządy
león,Lew
entras,Wchodzisz
decían,Mówili
chinos,chiński
brujas,Brugy
barbara,Barbara
admiro,podziwiam
voto,głosować
volvieron,Oni wrócili
suelte,uwolnienie
reto,wyzwanie
metes,umieścić
infarto,zawał serca
cuyo,którego
construyó,wybudowany
boleto,bilet
besar,pocałunek
portal,portal
ponemos,Kładziemy
monte,Góra
discusión,dyskusja
digno,godny
desean,Chcą
darse,dawać
considerar,rozważać
bancos,banki
poción,eliksir
perdóneme,Przepraszam
pensabas,Myślałeś
mónica,Monica
generoso,hojny
estatua,statua
convencer,przekonać
conocida,znany
comenzamos,Zaczynamy
aceptado,przyjęty
woody,Drzewiasty
rob,Obrabować
paige,Paige
importar,materiał
gabrielle,Gabrielle
fracaso,awaria
ciertos,Niektóre
bomberos,strażacy
zé,Zé
sorprendido,zaskoczony
protegido,chroniony
presenta,przedstawia
metí,włożyłem
entenderlo,Zrozum to
detengan,zatrzymywać się
conflicto,konflikt
códigos,Kody
seco,suchy
sabiendo,porozumiewawczy
hacerla,Do
green,zielony
graves,Poważny
dejarás,Opuścisz
convencido,przekonany
comprende,rozumie
bromas,żarty
yeah,Tak
oyen,Oni słyszą
moleste,Matka
mencionar,wzmianka
gastos,rachunki
estaríamos,Bylibyśmy
esperaremos,poczekamy
encontrarán,Znajdą
billetes,Bilety
arco,ukłon
altos,Wysoki
actores,aktorzy
talvez,Może
sitios,Witryny
saluda,Pozdrawiam
quejas,Uskarżanie się
planeando,planowanie
moriremos,umrzemy
marica,maminsynek
habrías,Miałbyś
estarían,Byliby
dejarán,Oni opuszczą
castle,Zamek
amantes,zakochani
acostumbrado,wykorzystywany do
tyler,Tyler
torneo,Turniej
planos,plany
ordeno,zamawiam
morris,Morris
miré,Patrzeć
maldicion,przekleństwo
kg,kg
dirías,Powiedziałbyś
confirmado,potwierdzony
vacas,krowy
quirófano,sala operacyjna
ponerlo,Umieść to
origen,pochodzenie
fusión,połączenie
deberá,musieć
verdaderos,PRAWDA
serían,zrobiłbym
seguía,Trwał
sabrán,będzie wiedział
pasaje,przejście
necesidades,wymagania
lavado,umyty
galaxia,galaktyka
fresca,świeży
drake,Kaczor
doloroso,bolesny
comenzado,Rozpoczęty
uñas,paznokcie
trajes,garnitury
perfil,profil
necesitará,będzie potrzebował
manejando,obsługiwanie
lola,Lola
lentes,okulary
engañar,oszukiwać
ellen,Ellen
cállense,Zamknąć się
bud,Pączek
bate,nietoperz
automático,automatyczny
tuyas,twój
quedarás,Zostaniesz
profunda,głęboko
piensen,Myśleć
permiten,umożliwić
heredero,dziedzic
entraron,Weszli
diane,Diane
canadá,Kanada
caminos,drogi
sintió,filc
robé,Kradnę
porno,bo nie
lejano,daleko
intercambio,giełda
hojas,liście
dispare,Próbować
cuan,Jak
champaña,szampan
atractiva,atrakcyjny
terminal,terminal
rita,Rita
poesía,poezja
pierda,stracić
expertos,eksperci
ensalada,Sałatka
convertir,konwertować
calientes,gorący
autopsia,Sekcja zwłok
tristeza,smutek
tiendas,sklepy
rebecca,Rebecca
mafia,mafia
jodas,Fucks
escuchó,słucham
enormes,ogromny
denme,Daj mi
atacaron,Zaatakowali
ana,Ana
almacén,sklep
sufrió,cierpiał
productos,produkty
productor,producent
permitido,dozwolony
pegó,uderzyć
matarla,Zabij ją
interno,wewnętrzny
interna,wewnętrzny
infantil,dziecinny
españa,Hiszpania
diarios,Pamiętniki
combinación,połączenie
acompañe,Towarzyszyć
ropas,odzież
pondremos,Umieścimy
metiste,Masz
esencia,istota
brillantes,Jasny
bingo,bingo
sordo,głuchy
sacas,Wyjmujesz
rancho,Ranczo
objetivos,cele
muebles,meble
mencionó,wspomniany
estupido,idiota
enterado,świadomy
documento,dokument
ann,Ann
vencer,pokonać
sintiendo,uczucie
quieta,Nadal
período,okres
oportunidades,możliwości
nicholas,Mikołaj
monsieur,Lord
monos,małpy
mercancía,towar
lastimado,zraniony
internos,wewnętrzny
hueco,luka
golpea,uderzyć
evento,wydarzenie
estudiando,uczenie się
elige,wybierać
crecido,dorosły
conspiración,spisek
avenida,aleja
tremendo,ogromny
tocas,Dotykasz
sabias,Wiedziałaś
raya,naszywka
líos,bałagan
invitar,zapraszać
homicidios,Zabójstwa
herramientas,narzędzia
flecha,strzałka
derrota,pokonać
cervezas,piwo
weyland,Weyland
terminará,skończy
llenar,wypełnić
líderes,przywódcy
ganan,Oni wygrali
fingir,udawać
estrategia,strategia
dirán,Powiedzą
confías,Ty ufasz
cómoda,wygodny
comience,Początek
cenizas,proch
capaces,zdolny
wendy,Wendy
temía,obawiałem się
sonríe,uśmiech
quite,usunąć
necesites,Potrzebujesz
mostrarle,Pokaż mu
mordió,ugryzienie
jefa,szef
fallo,przegrany
empiezan,Oni zaczynają
dispositivo,urządzenie
detesto,Nienawidzę
aprendiste,Nauczyłeś się
aman,Miłość
agradecido,wdzięczny
agáchate,schodzić
terminaste,Skończyłeś
sida,AIDS
mueras,Umrzesz
mentí,kłamałem
lujo,luksus
láser,laser
importe,kwota
físico,fizyczny
caes,Caes
tiros,strzelanie
miran,oglądają
lydia,Lydia
hadas,Wróżki
ganancias,Zyski
fritas,frytki
fantasía,wymyślny
deténgase,Zatrzymywać się
déjenlo,Zostaw to
curar,wyleczyć 
comidas,żywność
ruth,Litość
quisiste,Chciałeś
pacífico,spokojny
oler,zapach
ofreció,oferowany
importaba,importowany
derek,Derek
certeza,pewność
alfred,Alfred
actividades,zajęcia
zack,Zack
vestidos,sukienki
sullivan,Sullivan
suele,zazwyczaj
submarino,Łódź podwodna
podrias,mógłbyś
pesa,waga
judas,Judasz
idioma,język
identificar,zidentyfikować
hubiéramos,mielibyśmy
craig,Craig
cañones,armaty
beneficios,korzyści
sospecha,podejrzenie
observación,obserwacja
muchachas,Dziewczyny
manejo,napędowy
jodiendo,Pierdolony
explicarlo,Wyjaśnić
divino,boski
divertida,zabawa
despegue,startować
dennis,Dennis
contrató,kontrakt
brooklyn,Brooklyn
volumen,tom
trabajó,stanowisko
términos,warunki
morirán,Oni umrą
hombros,ramiona
hada,wróżka
alegre,wesoły
terribles,straszny
temes,boisz się
sabiduría,mądrość
q,Q
prioridad,priorytet
pluma,pióro
misil,pocisk
mansión,Rezydencja
detenerme,zatrzymywać się
despertó,Obudziłem się
decírmelo,Powiedz mi
cambiará,Przełącz na
arranca,Zaczyna się
alejado,zdalny
soltero,pojedynczy
samuel,Samuel
pierden,Oni przegrywają
mascota,zwierzak domowy
kerry,Kerry
empuja,Naciskać
dentista,dentysta
cogido,złapany
batería,bateria
visual,wizualny
stu,Stu
sirius,Syriusz
reconoce,rozpoznać
pedimos,Pytamy
niebla,mgła
métodos,Metody
durmió,on spał
desfile,parada
creciendo,rozwój
continua,kontynuować
borracha,pijany
beca,stypendium
adolescente,Nastolatek
actos,Dzieje
mágica,magia
imbéciles,Imbéciles
huyendo,uciekać
fotógrafo,fotograf
experimentos,eksperymenty
edificios,Budynki
deténganse,zatrzymywać się
cálmense,Uspokoić się
atmósfera,atmosfera
acabaron,Skończyli
votos,głosy
tareas,zadania
presupuesto,budżet
persecución,prześladowanie
enseñarle,Naucz go
enfermos,chory
cortes,cięcia
contaste,Powiedziałeś
recuerdan,Pamiętać
probabilidades,Prawdopodobieństwa
núcleo,rdzeń
multitud,załoga
moriré,umrę
eva,Przeddzień
empresas,firmy
delta,delta
austin,Austin
asociación,stowarzyszenie
verdes,zielony
santiago,Santiago
profesión,zawód
pelotón,pluton żołnierzy
paro,bezrobocie
manhattan,Manhattan
largos,długi
danos,szkoda
creído,Wierzył
cosecha,zbiór
cintas,Taśmy
agallas,wnętrzności
vendido,sprzedany
tortura,torturować
suéltala,Z rękawem
sexuales,seksualny
retirado,emerytowany
reconoces,Rozpoznajesz
pudieran,Mogliby
may,móc
desorden,nieład
desarrollo,rozwój
abandonó,porzucenie
vodka,wódka
violento,brutalny
vestida,Ubrany
probarlo,Spróbuj
jay,Sójka
buda,Budda
balón,piłka
qin,Qin
población,populacja
pechos,Piersi
ocurrirá,To się stanie
mientes,kłamiesz
leal,wierny
jo,Jo
haley,Haley
federación,federacja
dí,dał
baker,Piekarz
asustaste,Jesteś przestraszony
apártate,cofnąć się
vinieras,Doszedłeś
valioso,cenny
profesora,nauczyciel
misericordia,Łaska
mancha,plama
ilusión,złudzenie
habrás,Będziesz miał
golpeado,uderzony
generador,generator
empiezas,Ty zaczynasz
detuvo,zatrzymany
despedir,odrzucać
cuerdas,smyczki
cráneo,czaszka
champán,szampan
cartel,podpisać
campana,Kampania
amanda,Amanda
vendió,sprzedany
spooner,Spooner
rompí,zerwałem
revistas,czasopisma
ordena,Zamówienie
krakozhia,Krakozhia
jennings,Jennings
cállese,Zamknąć się
avanzar,osiągnięcie
técnicamente,technicznie
remoto,zdalny
pudiéramos,Moglibyśmy
pega,stanowisko
parto,Narodziny
nido,gniazdo
molestando,niepokojące
kennedy,Kennedy
gota,upuszczać
francis,Francis
fracasado,przegrany
ford,Bród
esperé,Czekać
escúcheme,Posłuchaj mnie
eco,Echo
duros,Twardy
dispararle,zastrzel go
desaparecieron,Oni zniknęli
darryl,Darryl
contarle,Powiedz mu
cargando,ładowanie
caen,Upadają
asesinó,zabójca
prométeme,Obiecaj mi
políticos,Politycy
plantas,Podłogi
oculta,ukryty
mundos,światy
fines,cele
dueños,właściciele
detén,zatrzymywać się
cm,cm
bailey,Bailey
asesinar,morderstwo
agosto,Sierpień
rojas,Czerwony
pantano,bagno
opina,On myśli
odian,Oni nienawidzą
llegaré,przybędę
impresionado,pod wrażeniem
dirigir,Ołów
diciembre,Grudzień
decidimos,zdecydowaliśmy aby
conectado,połączony
toco,Gram
sinceramente,z poważaniem
relacionado,powiązany
quedaron,Byli
nikita,Nikita
levanten,Winda
jin,Jin
espantoso,przerażający
enseño,nauczał
enfermedades,choroby
divirtiendo,zabawa
cubre,obejmuje
confidencial,poufny
compre,kupiłem
cody,Cody
baúl,pień
baila,Taniec
aumento,zwiększyć
ascenso,wzniesienie się
anthony,Anthony
testimonio,świadectwo
saliera,wyszedł
resiste,opiera się
preston,Preston
párate,Wstań
ofrecer,oferta
ocupo,zająć
merecía,zasłużony
jacques,Jacques
jabón,mydło
hamburguesa,Hamburger
gondor,Gondor
f,F
escuelas,Szkoły
equivoco,błędny
caiga,jesień
bernie,Bernie
beneficio,korzyść
suéltalo,Odpuść sobie
rusa,Rosyjski
receta,przepis
modelos,Modele
misterioso,tajemniczy
hoia,Hoia
esconder,ukrywać
eche,Eche
contarte,Powiedz ci
carlyle,Carlyle
callejón,aleja
buscarla,Poszukaj jej
bonitas,Ładny
toquen,dotykać
rudo,niegrzeczny
pasaré,zdam
justin,Justin
extrañé,Spóźniłam się
detras,za
detenerlos,Zatrzymaj ich
delito,przestępczość
atacado,zaatakowany
traerlo,przynieś to
sentencia,osąd
sácame,wyrzuć mnie
posibles,możliwy
participar,brać udział
pagas,ty płacisz
mintió,Skłamał
jefes,Szefowie
excepción,wyjątek
espadas,miecze
engañado,oszukany
débiles,słaby
corporación,Korporacja
cerrados,Zamknięte
carajos,usłyszał
vería,zobaczyłby
seca,Suchy
recibiendo,otrzymujący
pescar,Wędkarstwo
olvidas,Zapomniałeś
naciones,Narody
llevara,nosić
kit,Zestaw
graciosa,śmieszny
emergencias,sytuacje kryzysowe
dylan,Dylan
conviene,Jest to wygodne
comunicaciones,Komunikacja
caí,czuję
ocuparé,Zajmę
noah,Noah
niñita,mała dziewczynka
lizzie,Lizzie
hazte,Dostawać
estupenda,Świetnie
disciplina,dyscyplina
case,sprawa
arriesgado,ryzykowny
arquitecto,architekt
vaticano,Watykan
treadstone,Bieżnik
traerme,przynieś mi
tiroteo,strzelanie
sirvo,służę
sentirás,Poczujesz
ratón,mysz
quitarme,na wynos
quedaba,To było
preguntan,Pytają
permíteme,Pozwól mi
masacre,ubój
infancia,dzieciństwo
indio,indyjski
homosexual,homoseksualny
chance,szansa
barba,broda
artes,Sztuka
acerque,Avo
susto,przestraszyć
síntomas,objawy
salvarte,ocalić Cię
sabio,szałwia
romance,Romans
petición,Petycja
peligrosos,niebezpieczny
orinar,robić siku
marshall,Marshall
macho,Mężczyzna
llevarse,porwać
lindos,Ładny
rowan,Jarzębina
protegerte,Chronić Cię
profundidad,głębokość
porter,Porter
pides,Ty pytasz
permanente,stały
investigaciones,badania
cruzando,przejście
comenzando,startowy
atrapada,uwięziony
trampas,majdan
tomemos,Weźmy
tímido,nieśmiały
ola,fala
narices,nos
malcolm,Malcolm
diana,Diana
united,Zjednoczony
presentarles,Przedstaw je
pasaremos,Miniemy
observa,Patrzeć
nacer,urodzić się
mona,małpa
mm,mm
increíblemente,niewiarygodnie
despegar,startować
comentario,komentarz
sufre,cierpi
ramera,nierządnica
perfume,zapach
oscura,Ciemny
olas,fale
obligado,zobowiązany
noviembre,Listopad
logré,osiągnąłem
llevaría,Nosiłbym
fallado,przegrany
escocia,Szkocja
destruyó,On zniszczył
conduciendo,napędowy
camiseta,podkoszulek
venas,żyły
riendo,śmiać się
resistir,oprzeć się
pavo,indyk
pagué,zapłaciłem
nieto,wnuk
melvin,Melvin
liberar,uwolnienie
hogares,domy
denle,Daj mu
barón,baron
aguanto,Znałem
zod,Zod
woods,Las
vicepresidente,wiceprezydent
simón,Szymon
querrías,Chciałbyś
quedara,pozostanie
ordenador,komputer
mel,Mel
jodidos,Pieprzony
enfermeras,Pielęgniarki
despertado,obudzony
comentarios,uwagi
alumnos,studenci
aburrida,znudzony
superar,przeboleć
norma,reguła
musical,musical
lápiz,ołówek
jodan,Jodan
incluye,Obejmuje
fruta,owoc
entran,Weszli
eléctrica,Elektryczny
crítica,krytyka
comí,zjadłem
chip,żeton
cargado,załadowany
altas,Wysoki
venden,Czy sprzedajesz
superiores,przełożeni
sufriendo,cierpienie
sacamos,Wyjmujemy
lawrence,Lawrence
invitó,zaproszony
huelo,Pływanie
harían,Zrobiliby
gastar,wydawać
flint,Krzemień
escapa,ucieka
confirmar,potwierdzać
todd,Todd
street,Ulica
quitado,zabrany
probando,Testowanie
perímetro,obwód
pegado,przyklejony
olviden,Zapominać
mentirosa,kłamca
incapaz,niezdolny
forense,kryminalistycznych
félix,Felix
ésas,te
dignidad,godność
detectives,detektywi
deportes,Sporty
delicado,delikatny
cuarenta,czterdzieści
constante,stały
bebes,pijesz
sesos,mózg
seriamente,poważnie
regresemos,Wracajmy
protegiendo,ochrona
muralla,Ściana
meterse,wejść w
lleves,Brać
inténtalo,Spróbuj
huye,ucieka
embarazo,ciąża
detroit,Detroit
debimos,Mieliśmy
cuartos,pokoje
copas,Kubki
brooke,Brooke
seattle,Seattle
rehén,zakładnik
pisos,Podłogi
persiguiendo,ściganie
milagros,Cuda
horror,przerażenie
hector,Zabijaka
emocional,emocjonalny
comedor,jadalnia
cap,facet
busqué,szukałem
buscarme,Szukaj mnie
tumbas,Grobowce
subtitulado,Podtytuł
qaeda,Kaida
plazo,termin
pesca,Wędkarstwo
muertas,martwy
mantenerlo,Zatrzymaj to
llamaremos,Zadzwonimy
litros,Litry
horribles,straszny
harvard,Harvard
deudas,długi
detiene,przystanki
compraste,Kupiłeś
comisaría,Posterunek policji
verlas,Zobacz ich
vé,Iść
vago,leniwy
unica,tylko
radiación,promieniowanie
múltiples,Wiele
muchísimas,wiele
equivoca,zło
cuya,którego
cortinas,zasłony
bo,Bo
tenerla,posiadać to
tapa,szczyt
sorpresas,Niespodzianki
respiro,wytchnienie
queja,skarga
preguntarme,Zapytaj mnie
oyendo,przesłuchanie
ned,Ned
mordida,ugryzienie
mmm,Hmm
miró,patrzę
marchar,Maszerować
mantequilla,masło
guardián,opiekun
escándalo,skandal
causó,spowodowany
caleb,Caleb
aléjense,Aléje sam
acercando,zbliżający się
vió,piła
tinta,atrament
sindicato,Związek zawodowy
reuniones,Spotkania
pida,Zapytać
personajes,postacie
lees,Czytasz
keaton,Keaton
dispuesta,Ułożony
descripción,opis
calzones,bryczesy
brigada,brygada
ayudaría,mogłoby pomóc
repugnante,obrzydliwe
odiaba,nienawidziłem
misa,masa
metrópolis,Metropolia
meterme,Dowiedz mnie
mamita,Mamita
jamón,szynka
forrest,Forrest
ésos,te
cazadores,Łowcy
weaver,Tkacz
usarla,Użyj tego
ronnie,Ronnie
retraso,opóźnienie
responsabilidades,Obowiązki
preocupas,Martwisz się
pagando,intratny
linterna,latarka
kansas,Kansas
inevitable,nieunikniony
encender,światło
distinta,różny
compro,kupił
cacería,polowanie
atacan,Atakują
usaba,użyłem
parientes,krewni
menores,Nieletni
jungla,dżungla
ginger,Ożywić
dedicado,dedykowane
contentos,szczęśliwy
compraré,Kupię
chuck,Cmokanie
astuto,podstępny
antídoto,antidotum
vivas,żywy
vano,próżny
sajones,Saksoni
raros,Rzadki
quemado,Spalony
promesas,obietnice
paulie,Paulie
parejas,Pary
olvidarlo,Zapomnij o tym
locales,lokalny
fuga,odpływ
estaciones,pory roku
dispares,Typ
despidieron,Strzelili
asesinada,zamordowany
artillería,artyleria
apariencia,wygląd
advertí,ostrzegałem
z,z
stone,Kamień
sacarme,Wydostań mnie
pueblos,narody
monty,małpa
mágico,magiczny
garantizo,gwarantuję
excusas,Wymawianie się
contratar,wynajmować
chowder,Chowder
chandler,Kupiec
candidato,kandydat
anteriormente,poprzednio
adicto,uzależniony
sello,foka
salvarlo,Zapisz to
retrasado,opóźniony
placas,talerze
lucky,Mający szczęście
hermosos,Piękny
galleta,ciastko
escucharon,Oni słyszeli
chistoso,śmieszny
anillos,Pierścienie
subió,poszedł w górę
solar,słoneczny
robertson,Robertson
píldoras,pigułki
pásame,Podaj mnie
moore,Moore
juegues,grać
grito,krzyczeć
enseñado,nauczał
encontrarte,znaleźć Cię
descubrimiento,odkrycie
consigues,Dostajesz
clérigo,duchowny
clásico,klasyczny
batallas,Bitwy
american,amerykański
uses,używasz
trates,Traktujesz
marzo,Marsz
hechas,zrobiony
fraude,oszustwo
economía,gospodarka
disfrute,przyjemność
creerme,uwierz mi
costo,koszt
consiga,Dostawać
condena,zdanie
bájate,Schodzić
alivio,ulga
yuri,Yuri
traerá,przyniesie
spock,Spock
quedaremos,Zostaniemy
micrófono,mikrofon
matemáticas,matematyka
interesan,Oni są zainteresowani
ida,Pójście
hueles,Pachniesz
giro,zakręt
desgraciados,niefortunny
arroz,Ryż
andan,Oni spacerują
unido,Zjednoczony
traseros,tył
torres,Wieże
seda,jedwab
maria,Maria
engañando,oszukiwanie
encuentres,Znajdować
elliot,Elliot
controles,Sterownica
choque,zaszokować
celos,zazdrość
aclarar,wyjaśniać
von,von
totenkopf,Totenkopf
shelly,Shelly
sentiría,czułbym się
santuario,sanktuarium
queden,Oni są
piratas,Piraci
impulso,impuls
impedir,zapobiegać
grita,krzyki
envíe,Wysłać
entraste,Wszedłeś
debieron,Oni muszą
creías,Myślałeś
cobrar,opłata
audición,przesłuchanie
asesinados,zabity
afueras,peryferie
tribu,plemię
testamento,będzie
postre,deser
phileas,Philas
paró,bezrobocie
ópera,Opera
jeffrey,Jeffrey
falló,przegrany
estatal,państwo
esclavo,niewolnik
déjate,Pozwól sobie
costillas,żeberka
costará,to będzie kosztować
chistes,żarty
arreglaré,naprawię
apollo,Apollo
alcanza,osiąga
valientes,odważny
privilegio,przywilej
palmer,Pielgrzym z ziemi świętej
orina,mocz
lauren,Lauren
jovencito,młodzik
invasión,inwazja
ian,Ian
halloween,Halloween
estuvieran,Byli
estupideces,gówno
encaja,Pasuje
durará,to będzie trwało
descanse,Odpoczynek
déjanos,zostaw nas
camas,Łóżka
cables,kable
bárbara,Barbara
avanzando,iść naprzód
usualmente,zazwyczaj
sagrada,Sagrada
sable,szabla
retírense,Usuń się
retirada,wycofanie
psicópata,psychopata
preocupo,martwić się
plaga,plaga
ohh,Och
mordor,Mordor
malvada,zło
existir,istnieć
entendemos,Rozumiemy
emilio,Emilio
cuái,Quai
bendito,błogosławiony
arregla,naprawić
supuestamente,podobno
sméagol,Sméagol
residente,rezydent
rescatar,ratunek
pesada,Ciężki
oímos,Słyszymy
locas,zwariowany
llegarán,oni przybędą
hermanito,młodszy brat
hamburguesas,hamburgery
firmado,podpisane
entrenar,pociąg
encendido,włączony
disfruten,Cieszyć się
deseaba,Chciałem
conocías,Wiedziałaś
cambiaron,Zmienili się
boxeo,boks
autorizado,upoważniony
armadura,zbroja
sobrevivió,On przetrwał
preocupados,zmartwiony
ocasiones,okazje
necesitarás,będziesz musiał
mutante,Mutant
músculos,mięśnie
mantienen,Utrzymują
justa,sprawiedliwy
increíbles,Niesamowity
incómodo,niewygodny
harta,rozdrażniony
expedición,wyprawa
esfuerzos,starania
directa,bezpośredni
deberes,Praca domowa
contratado,zatrudniony
burt,Burt
usé,użyłem
sentar,siedzieć
presentes,obecny
mierdas,Gówno
merecen,Oni zasługują
llamaban,Oni dzwonili
ejecución,wykonanie
darás,Dasz
créame,Uwierz mi
busquemos,Poszukajmy
afirmativo,twierdzący
admito,przyznaję
talla,rozmiar
rodeado,otoczony
reparar,naprawić
quitó,Usunął
patada,kopnięcie
lea,Czytać
jugado,grał
humilde,pokorny
encantó,czar
encantará,Zaklęcie
elefante,słoń
echaré,Będę
doyle,dawać
demostración,demonstracja
creación,kreacja
compañia,firma
camaradas,towarzysze
bebido,pijany
bata,płaszcz
whoa,Whoa
soga,lina
signos,oznaki
sentirte,Poczuj cię
póngase,Włączać
perderé,przegram
pegar,pasta
ondas,fale
mapas,Mapy
mantenerte,Zatrzymaj się
llenos,Pełny
intentes,Próbować
informar,poinformować
independiente,niezależny
fuéramos,chodźmy
eve,PRZEDDZIEŃ
encontrarnos,Znajdź nas
distintas,różny
conque,z czym
conozcas,Wiesz
cometa,latawiec
christine,Christine
acostado,leżeć
pentágono,pięciokąt
pensaría,Pomyślałbym
galería,Galeria
duermo,śpię
decepcionado,zdenerwowany
blancas,Biały
bajó,Niski
ausencia,brak
asistencia,frekwencja
walt,Walt
usaste,używałeś
suma,dodatek
ogro,ogr
griego,grecki
caballería,rycerskość
bondad,dobroć
bolsillos,Kieszenie
avanzada,zaawansowany
ancestros,przodkowie
alturas,Wzgórza
star,Gwiazda
puño,pięść
otoño,jesień
observar,ogłoszenie
mande,Co
lily,Lilia
ligera,Światło
iris,irys
horno,piekarnik
grosero,niegrzeczny
elementos,rzeczy
debías,Jesteś winien
culpo,Obwiniam
comencemos,Zaczynajmy
chase,Pościg
bebo,piję
veloz,szybko
telefónica,Telefónica
tatuaje,tatuaż
sácalo,wyciągnij to
resuelto,rozwiązany
quedaría,To byłby
pais,kraj
nocturno,noc
mikey,Mikey
líquido,płyn
lincoln,Lincoln
filas,szeregi
estes,Te
espías,szpiedzy
especialidad,specjalność
aves,ptaki
amables,przyjazny
uniformes,Mundury
sentirlo,Poczuj to
retrocede,Wróć
reconocer,rozpoznać
rebelde,buntownik
plena,pełny
